"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time"
"128",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-03-09","fed",28694,"26120",NA
"129",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-03-09","fed",28724,"35100",NA
"130",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Grip Strength (4 Paw)","2015-03-09","fed",28765,"3040,2710,2330,2480,2520",NA
"131",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-03-16","fed",29874,"37200","15:30:00"
"132",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-03-16","fed",29929,"10230","15:30:00"
"133",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-03-16","fed",29930,"26270","15:30:00"
"134",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-03-23","fed",30950,"40600","16:00:00"
"135",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Grip Strength (4 Paw)","2015-03-23","fed",31167,"3320,2930,3230,2670,3100","16:00:00"
"136",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-03-23","fed",31189,"12720","16:00:00"
"137",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-03-23","fed",31190,"26850","16:00:00"
"138",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Body Weight","2015-03-30","fed",32001,"42200","15:30:00"
"139",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Grip Strength (4 Paw)","2015-03-30","fed",32150,"2840,3270,2960,2770,2900","15:30:00"
"140",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Total Fat Mass","2015-03-30","fed",32176,"14290","15:30:00"
"141",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2099,198,7224,"C57BL/6J","Lean Mass","2015-03-30","fed",32177,"26730","15:30:00"
"142",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Body Weight","2014-11-26","fed",19235,"25300",NA
"143",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Total Fat Mass","2014-11-26","fed",19236,"2620",NA
"144",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Lean Mass","2014-11-26","fed",19237,"21750",NA
"145",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Body Weight","2014-12-01","fed",19419,"24100",NA
"146",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Total Fat Mass","2014-12-01","fed",19420,"1060",NA
"147",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Lean Mass","2014-12-01","fed",19421,"22300",NA
"148",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Body Weight","2014-12-02","fasted",19510,"24700",NA
"149",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Total Fat Mass","2014-12-02","fasted",19511,"1620",NA
"150",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Lean Mass","2014-12-02","fasted",19512,"22300",NA
"151",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Body Weight","2014-12-16","fed",20848,"27300",NA
"152",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20849,"2300",NA
"153",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Lean Mass","2014-12-16","fed",20850,"24390",NA
"154",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Body Weight","2014-12-30","fed",21252,"30400",NA
"155",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2101,198,7225,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21253,"2790",NA
