"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time","experiment.fasting_time"
"124",115,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-12-04","fed",19677,"34200",NA,NA
"125",115,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-12-04","fed",19678,"9020",NA,NA
"126",115,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-12-04","fed",19679,"24280",NA,NA
"127",127,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-12-16","fed",20833,"34500",NA,NA
"128",127,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20834,"9830",NA,NA
"129",127,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-12-16","fed",20835,"23670",NA,NA
"130",141,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2014-12-30","fed",21237,"37000",NA,NA
"131",141,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21238,"11770",NA,NA
"132",141,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2014-12-30","fed",21239,"24470",NA,NA
"133",155,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-13","fed",22799,"38900",NA,NA
"134",155,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-13","fed",22800,"13870",NA,NA
"135",155,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-13","fed",22801,"23810",NA,NA
"136",158,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-16","fed",23183,"41400",NA,NA
"137",158,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-16","fed",23207,"15170",NA,NA
"138",158,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-16","fed",23231,"25300",NA,NA
"139",161,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-19","fed",23378,"36200","16:30:00",NA
"140",161,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-19","fed",23584,"11690","16:30:00",NA
"141",161,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-19","fed",23585,"24130","16:30:00",NA
"142",168,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-01-26","fed",23786,"36060",NA,NA
"143",168,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-01-26","fed",23810,"11460",NA,NA
"144",168,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-01-26","fed",23834,"23500",NA,NA
"145",161,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Grip Strength (4 Paw)","2015-01-19","fed",23856,"2550,2910,2020,2110,2340","16:30:00",NA
"146",168,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Grip Strength (4 Paw)","2015-01-26","fed",23880,"3340,2850,3270,2830,3150",NA,NA
"147",175,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-02-02","fed",24498,"36400",NA,NA
