"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","HFD","Rapamycin","Weight"
"85","C57BL/6J-EarTag #30",133642,"C57BL/6J","+/+",71,"Body Weight",22610,"fasted","Control Diet",FALSE,FALSE,22.61
"86","C57BL/6J-EarTag #44",133643,"C57BL/6J","+/+",71,"Body Weight",22650,"fasted","Control Diet",FALSE,FALSE,22.65
"87","C57BL/6J-EarTag #45",133643,"C57BL/6J","+/+",71,"Body Weight",26000,"fasted","Control Diet",FALSE,FALSE,26
"88","C57BL/6J-EarTag #46",133643,"C57BL/6J","+/+",71,"Body Weight",22290,"fasted","Control Diet",FALSE,FALSE,22.29
"89","C57BL/6J-EarTag #47",133643,"C57BL/6J","+/+",71,"Body Weight",22300,"fasted","Control Diet",FALSE,FALSE,22.3
"90","C57BL/6J-EarTag #48",NA,"C57BL/6J","+/+",71,"Body Weight",26500,"fasted",NA,FALSE,FALSE,26.5
"91","C57BL/6J-EarTag #206",137771,"C57BL/6J","+/+",70,"Body Weight",24570,"fed","High Fat Diet",TRUE,FALSE,24.57
"92","C57BL/6J-EarTag #207",137771,"C57BL/6J","+/+",70,"Body Weight",23780,"fed","High Fat Diet",TRUE,FALSE,23.78
"93","C57BL/6J-EarTag #208",137771,"C57BL/6J","+/+",70,"Body Weight",25750,"fed","High Fat Diet",TRUE,FALSE,25.75
"94","C57BL/6J-EarTag #209",137771,"C57BL/6J","+/+",70,"Body Weight",23360,"fed","High Fat Diet",TRUE,FALSE,23.36
"95","C57BL/6J-EarTag #210",137769,"C57BL/6J","+/+",70,"Body Weight",24310,"fed","High Fat Diet",TRUE,FALSE,24.31
"96","C57BL/6J-EarTag #211",137769,"C57BL/6J","+/+",70,"Body Weight",24810,"fed","High Fat Diet",TRUE,FALSE,24.81
"97","C57BL/6J-EarTag #212",137769,"C57BL/6J","+/+",70,"Body Weight",24770,"fed","High Fat Diet",TRUE,FALSE,24.77
"98","C57BL/6J-EarTag #215",137769,"C57BL/6J","+/+",70,"Body Weight",23710,"fed","High Fat Diet",TRUE,FALSE,23.71
"99","C57BL/6J-EarTag #216",137770,"C57BL/6J","+/+",70,"Body Weight",24970,"fed","High Fat Diet",TRUE,FALSE,24.97
"100","C57BL/6J-EarTag #217",137770,"C57BL/6J","+/+",70,"Body Weight",22480,"fed","High Fat Diet",TRUE,FALSE,22.48
"101","C57BL/6J-EarTag #218",137770,"C57BL/6J","+/+",70,"Body Weight",23650,"fed","High Fat Diet",TRUE,FALSE,23.65
"102","C57BL/6J-EarTag #219",137770,"C57BL/6J","+/+",70,"Body Weight",27110,"fed","High Fat Diet",TRUE,FALSE,27.11
"103","C57BL/6J-EarTag #220",137774,"C57BL/6J","+/+",70,"Body Weight",24100,"fed","High Fat Diet",TRUE,FALSE,24.1
"104","C57BL/6J-EarTag #221",137774,"C57BL/6J","+/+",70,"Body Weight",26760,"fed","High Fat Diet",TRUE,FALSE,26.76
"105","C57BL/6J-EarTag #222",137774,"C57BL/6J","+/+",70,"Body Weight",25900,"fed","High Fat Diet",TRUE,FALSE,25.9
"106","C57BL/6J-EarTag #223",137774,"C57BL/6J","+/+",70,"Body Weight",25010,"fed","High Fat Diet",TRUE,FALSE,25.01
"107","C57BL/6J-EarTag #224",137776,"C57BL/6J","+/+",70,"Body Weight",24910,"fed","High Fat Diet",TRUE,FALSE,24.91
"108","C57BL/6J-EarTag #226",137776,"C57BL/6J","+/+",70,"Body Weight",25810,"fed","High Fat Diet",TRUE,FALSE,25.81
"109","C57BL/6J-EarTag #227",137776,"C57BL/6J","+/+",70,"Body Weight",25100,"fed","High Fat Diet",TRUE,FALSE,25.1
"110","C57BL/6J-EarTag #228",137776,"C57BL/6J","+/+",70,"Body Weight",25470,"fed","High Fat Diet",TRUE,FALSE,25.47
"111","C57BL/6J-EarTag #229",139574,"C57BL/6J","+/+",70,"Body Weight",25400,"fed","High Fat Diet",TRUE,FALSE,25.4
"112","C57BL/6J-EarTag #230",139574,"C57BL/6J","+/+",70,"Body Weight",26490,"fed","High Fat Diet",TRUE,FALSE,26.49
"113","C57BL/6J-EarTag #232",139574,"C57BL/6J","+/+",70,"Body Weight",25280,"fed","High Fat Diet",TRUE,FALSE,25.28
"114","C57BL/6J-EarTag #233",139574,"C57BL/6J","+/+",70,"Body Weight",23170,"fed","High Fat Diet",TRUE,FALSE,23.17
"115","C57BL/6J-EarTag #183",137767,"C57BL/6J","+/+",70,"Body Weight",25180,"fed","Control Diet",FALSE,FALSE,25.18
"116","C57BL/6J-EarTag #184",137767,"C57BL/6J","+/+",70,"Body Weight",24150,"fed","Control Diet",FALSE,FALSE,24.15
"117","C57BL/6J-EarTag #185",137767,"C57BL/6J","+/+",70,"Body Weight",25560,"fed","Control Diet",FALSE,FALSE,25.56
"118","C57BL/6J-EarTag #186",137767,"C57BL/6J","+/+",70,"Body Weight",27100,"fed","Control Diet",FALSE,FALSE,27.1
"119","C57BL/6J-EarTag #187",137767,"C57BL/6J","+/+",70,"Body Weight",24270,"fed","Control Diet",FALSE,FALSE,24.27
