Name	Size	NES	NOM p-value	FDR q-value	Gene Details
BIOCARTA_GCR_PATHWAY	19.0	1.5616515	0.047272727	0.12981032	NOS3,ADRB2,NPPA,GNGT1,NR3C1,PIK3R1,PIK3CG
BIOCARTA_CTCF_PATHWAY	21.0	1.554335	0.018796992	0.13361402	TGFBR3,PIK3R1,PIK3CG,TGFBR2,TGFB3,CD79B,MYC,CD79A,PTEN,RPS6KB1,PIK3CA,SMAD5
BIOCARTA_LAIR_PATHWAY	12.0	1.55377	0.058252428	0.13140099	ITGB2,ITGA4,SELPLG,IL6,TNF,ITGAL,IL1A,SELP,VCAM1,ITGB1,ICAM1
BIOCARTA_BLYMPHOCYTE_PATHWAY	8.0	1.5374479	0.03943662	0.14267395	CD80,ITGB2,PTPRC,CD40,ITGAL
BIOCARTA_D4GDI_PATHWAY	12.0	1.5343113	0.061919503	0.14251693	PRF1,CASP1,ARHGDIB,JUN,APAF1,CASP8
BIOCARTA_PLATELETAPP_PATHWAY	11.0	1.5234513	0.04477612	0.15038693	SERPINE1,COL4A1,COL4A2
BIOCARTA_RAS_PATHWAY	22.0	1.5143734	0.046153847	0.15678856	PIK3R1,PIK3CG,RHOA,ELK1,MAPK3,PLD1,CDC42,PIK3CA,RAF1,RAC1,NFKB1
BIOCARTA_NFKB_PATHWAY	22.0	1.499494	0.02962963	0.16876747	TLR4,TNF,TNFAIP3,IL1A,TNFRSF1A,NFKBIA,IL1R1,MAP3K14,RIPK1,NFKB1
BIOCARTA_NTHI_PATHWAY	23.0	1.4975301	0.033962265	0.1676365	NR3C1,DUSP1,TNF,TGFBR2,TLR2,NFKBIA
BIOCARTA_TCAPOPTOSIS_PATHWAY	8.0	1.4966913	0.056657225	0.16565552	CD247,CCR5,CD3G,CD4,FAS,CD3E
BIOCARTA_CDMAC_PATHWAY	15.0	1.496213	0.06501548	0.16327153	PRKCA,TNF,FOS,PLCB1,JUN,MYC,NFKBIA,MAPK3
BIOCARTA_RAB_PATHWAY	8.0	1.4871807	0.045822103	0.16933799	ACTA1
BIOCARTA_SALMONELLA_PATHWAY	13.0	1.4813161	0.095846646	0.17275484	ACTA1,WASF1,CDC42,ARPC1B,ARPC4,RAC1,ACTR3
BIOCARTA_CREB_PATHWAY	25.0	1.4785104	0.052238807	0.1725712	PRKAR2B,CAMK2A,PRKCA,PIK3R1
BIOCARTA_AGPCR_PATHWAY	11.0	1.4673057	0.086021505	0.18161601	PRKAR2B,GNGT1,ARRB1,PRKCA
BIOCARTA_INTEGRIN_PATHWAY	38.0	1.4582828	0.04040404	0.18750331	ACTA1,CAV1,TNS1,ACTN3,RAPGEF1,ITGA1,RAP1A,JUN,RHOA,MAPK3,FYN,TLN1,ITGB1,VCL,PTK2,ROCK1,RAF1
BIOCARTA_TRKA_PATHWAY	10.0	1.4569695	0.09214092	0.18603954	PRKCA,PIK3R1
BIOCARTA_TOLL_PATHWAY	34.0	1.4557781	0.06435644	0.18451339	TLR4,CD14,TLR7,PGLYRP1,FOS,TLR2,JUN,ELK1,TLR9,NFKBIA
BIOCARTA_SPPA_PATHWAY	20.0	1.4531415	0.06949807	0.18428187	GNGT1,GNAI1,PRKCA,F2RL3,TBXAS1,PLCB1,ITGA1,MAPK3,ITGB1,PTK2,RAF1,F2R
BIOCARTA_TNFR2_PATHWAY	18.0	1.4497771	0.0472973	0.18484782	DUSP1,TRAF1,TNFAIP3,TANK,NFKBIA,MAP3K14,RIPK1,NFKB1
BIOCARTA_NKCELLS_PATHWAY	17.0	1.4361931	0.098684214	0.19704093	KLRC1,PIK3R1,KLRD1,VAV1,MAPK3,IL18,PIK3CA,ITGB1,KLRC2
BIOCARTA_TH1TH2_PATHWAY	15.0	1.4333122	0.07717042	0.19760893	IL12A,CD86,IL2RA,IL2,CD40,IFNG,IFNGR1,IL12B,IL18,IL18R1
BIOCARTA_EPONFKB_PATHWAY	10.0	1.4302168	0.09090909	0.19780608	EPOR,CDKN1A,ARNT,NFKBIA
BIOCARTA_TALL1_PATHWAY	15.0	1.4279541	0.09090909	0.19753642	TNFSF13B,TNFRSF17,TNFRSF13B,TNFSF13
BIOCARTA_RHO_PATHWAY	31.0	1.4225916	0.046875	0.20112588	GSN,MYL2,OPHN1,RHOA,ARHGEF1,ARHGAP6,TLN1,ARPC1B,VCL,ARPC4,ROCK1,ARHGAP4,ACTR3,LIMK1,ARHGAP5,ARHGEF11,ARHGAP1
BIOCARTA_EPO_PATHWAY	18.0	1.4208274	0.068100356	0.20007257	EPOR,FOS,JUN,ELK1,MAPK3,STAT5B,RAF1,STAT5A,CSNK2A1
BIOCARTA_MYOSIN_PATHWAY	30.0	1.4204694	0.06666667	0.19767344	MYL2,ARHGEF15,GNGT1,ARHGEF6,PRKCA,PLCB1,ARHGEF9,ARHGEF1,ARHGEF3
BIOCARTA_41BB_PATHWAY	16.0	1.4154862	0.10231023	0.20048724	IL2,IFNG,TNFRSF9,JUN,NFKBIA,MAP4K5,NFKB1,MAP3K5
